Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Pizzo Cengalo		46.29475	9.602056	46.29475,9.602056	3000	3369	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Catena Pizzo Badile-Pizzo Cengalo	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Catena Pizzo Badile-Pizzo Cengalo	II/A-15.III-B.3.e
Pizzo Rotondo (Cantone Ticino)		46.517	8.465833	46.517,8.465833	3000	3192	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Rotondo-Centrale-Piz Blas > Catena Gallina-Rotondo-Lucendro > Gruppo del Rotondo	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Rotondo-Centrale-Piz Blas	Catena Gallina-Rotondo-Lucendro	Gruppo del Rotondo	I/B-10.I-B.6.b
Pizzo Tresero		46.39028	10.54317	46.39028,10.54317	3500	3602	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Pointe Haute de Mary		44.575278	6.894722	44.575278,6.894722	3000	3212	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Mongioia > Costiera del Mongioia	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Mongioia	Costiera del Mongioia	I/A-4.I-A.3.a
Punta dei Tre Scarperi		46.7297	12.336	46.7297,12.336	3000	3152	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo dei Tre Scarperi > Bastione principale dei Tre Scarperi	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo dei Tre Scarperi	Bastione principale dei Tre Scarperi	II/C-31.I-A-2.b
Punta Gastaldi		44.680833	7.076389	44.680833,7.076389	3000	3214	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Punta Gelas di Lourousa		44.182094	7.3061	44.182094,7.3061	3000	3261	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.1-B.6.a
Punta Grohmann		46.304	11.444	46.304,11.444	3000	3114	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sassolungo > Settore del Sasso Levante	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sassolungo	Settore del Sasso Levante	II/C-31.III-A.2.b
Punta Penia		46.4344	11.849606	46.4344,11.849606	3000	3343	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo della Marmolada > Massiccio della Marmolada	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo della Marmolada	Massiccio della Marmolada	II/C-31.III-B.9.b
Punta San Matteo		46.378889	10.566667	46.378889,10.566667	3500	3678	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Punta Sommeiller		45.1283	6.8524	45.1283,6.8524	3000	3333	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Bernauda-Pierre Menue-Ambin > Gruppo d'Ambin > Gruppo Sommeiller-Vallonetto	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Bernauda-Pierre Menue-Ambin	Gruppo d'Ambin	Gruppo Sommeiller-Vallonetto	I/A-4.III-B.6.b
Roche de la Muzelle		44.930758	6.106761	44.930758,6.106761	3000	3465	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Arias-Muzelle > Gruppo della Muzelle > Catena Swan-Muzelle	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Arias-Muzelle	Gruppo della Muzelle	Catena Swan-Muzelle	I/A-5.III-E.18.a
Sass de Stria		46.521	11.997	46.521,11.997	2000	2477	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Nuvolau > Dorsale del Nuvolau	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Nuvolau	Dorsale del Nuvolau	II/C-31.I-D.16.a
Sasso Bianco		46.422949	11.998015	46.422949,11.998015	2000	2397	Alpi Orientali > Alpi Nord-orientali > Dolomiti > Alpi Orientali Alleghe Rocca Pietore (BL) > Catena Rocciamelone-Charbonnel > Gruppo della Marmolada > Catena dell'Auta	Alpi Orientali	Alpi Nord-orientali	Dolomiti	Alpi Orientali Alleghe Rocca Pietore (BL)	Catena Rocciamelone-Charbonnel	Gruppo della Marmolada	Catena dell'Auta	
Sasso di Bosconero		46.3375	12.2675	46.3375,12.2675	2000	2468	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Settentrionali di Zoldo > Gruppo del Bosconero > Gruppo Bosconero-Rocchette	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Settentrionali di Zoldo	Gruppo del Bosconero	Gruppo Bosconero-Rocchette	II/C-31.II-A.2.b
Sasso Pordoi		46.500612	11.806412	46.500612,11.806412	2500	2950	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sella > Sottogruppo del Boè	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sella	Sottogruppo del Boè	II/C-31.III-A.1.a
Sasso Vernale		46.418611	11.840833	46.418611,11.840833	3000	3058	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Gruppo della Marmolada > Sottogruppo Ombretta-Ombrettola	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Gruppo della Marmolada	Sottogruppo Ombretta-Ombrettola	II/C-31.III-B.9.c
Sassolungo		46.524722	11.735278	46.524722,11.735278	3000	3181	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sassolungo > Massiccio del Sassolungo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sassolungo	Massiccio del Sassolungo	II/C-31.III-A.2.a
Schiara		46.231072	12.181951	46.231072,12.181951	2500	2565	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Meridionali di Zoldo > Gruppo della Schiara > Catena Schiara-Pelf	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Meridionali di Zoldo	Gruppo della Schiara	Catena Schiara-Pelf	II/C-31.II-B.7.b/a
Strahlhorn		46.01326	7.902389	46.01326,7.902389	4000	4190	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Massiccio dello Strahlhorn > Gruppo Strahlhorn - Allalinhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Massiccio dello Strahlhorn	Gruppo Strahlhorn - Allalinhorn	I/B-9.V-A.1.a
Testa della Tribolazione		45.51693	7.29904	45.51693,7.29904	3500	3642	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Titlis		46.771944	8.437778	46.771944,8.437778	3000	3238	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi Urane > Catena del Titlis-Urirostock > Gruppo del Titlis-Spannort > Catena Tällistock-Titlis	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi Urane	Catena del Titlis-Urirostock	Gruppo del Titlis-Spannort	Catena Tällistock-Titlis	I/B-12.I-B.3.c
Torre di Castelfranco		45.97289	7.87947	45.97289,7.87947	3500	3629	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Gruppo della Cima di Jazzi > Sottogruppo della Cima di Jazzi	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Gruppo della Cima di Jazzi	Sottogruppo della Cima di Jazzi	I/B-9.III-A.3.a
Tour Ronde		45.845142	6.906388	45.845142,6.906388	3500	3798	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo della Tour Ronde	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo della Tour Ronde	I/B-7.V-B.2.f/a
Cima Grande (Tre Cime di Lavaredo)	Cima Grande, Große Zinne	46.6194379	12.3025404	46.6194379,12.3025404	2500	2999	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo delle Tre Cime di Lavaredo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo delle Tre Cime di Lavaredo		II/C-31.I-A.4
Trettachspitze		47.30362	10.29545	47.30362,10.29545	2500	2595	Alpi Orientali > Alpi Nord-orientali > Alpi Bavaresi > Alpi dell'Algovia > Alpi dell'Algoviain senso stretto > Catena Mädelegabel-Hochlicht > Gruppo del Mädelegabel, Costiera del Mädelegabel	Alpi Orientali	Alpi Nord-orientali	Alpi Bavaresi	Alpi dell'Algovia	Alpi dell'Algoviain senso stretto	Catena Mädelegabel-Hochlicht	Gruppo del Mädelegabel, Costiera del Mädelegabel	II/B-22.II-C.6.c/a
Uia di Bessanese		45.3	7.11667	45.3,7.11667	3500	3601	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Bessanese-Albaron > Cresta della Bessanese	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Bessanese-Albaron	Cresta della Bessanese	I/B-7.I-B.5.a
Vezzana		46.29	11.83	46.29,11.83	3000	3192	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Gruppo delle Pale di San Martino > Gruppo della Vezzana	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Gruppo delle Pale di San Martino	Gruppo della Vezzana	II/C-31.IV-A.1.e
Watzmann		47.555	12.923	47.555,12.923	2500	2713	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Alpi di Berchtesgaden > Alpi Centro-occidentali di Berchtesgaden > Watzmannstock > Watzmann	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Alpi di Berchtesgaden	Alpi Centro-occidentali di Berchtesgaden	Watzmannstock	Watzmann	II/B-24.III-C.5.a
Weisshorn		46.101299	7.716001	46.101299,7.716001	4500	4505	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo del Weisshorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo del Weisshorn		I/B-9.II-D.8
Wildspitze		46.885278	10.867222	46.885278,10.867222	3500	3772	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Gruppo della Palla Bianca > Nodo del Wildspitze	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Gruppo della Palla Bianca	Nodo del Wildspitze	II/A-16.I-A.2.b
Zugspitze		47.416667	10.983333	47.416667,10.983333	2500	2962	Alpi Orientali > Alpi Nord-orientali > Alpi calcaree nordtirolesi > Monti di Mieming e del Wetterstein > Monti del Wetterstein > Catena dello Zugspitze > Massiccio dello Zugspitze	Alpi Orientali	Alpi Nord-orientali	Alpi calcaree nordtirolesi	Monti di Mieming e del Wetterstein	Monti del Wetterstein	Catena dello Zugspitze	Massiccio dello Zugspitze	II/A-21.III-B.4.a
Aiguille de la Grande Sassière		45.505108	6.999637	45.505108,6.999637	3500	3751	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Grande Sassière-Tsanteleina > Gruppo Grande Sassière-Tsanteleina > Nodo della Grande Sassière	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Grande Sassière-Tsanteleina	Gruppo Grande Sassière-Tsanteleina	Nodo della Grande Sassière	I/B-7.III-A.2.c
Aiguille de Leschaux		45.888383	7.005866	45.888383,7.005866	3500	3759	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Leschaux	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Leschaux	I/B-7.V-B.4.c
Albaron di Sea		45.335163	7.164452	45.335163,7.164452	3000	3262	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Sottogruppo della Ciamarella	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Sottogruppo della Ciamarella	I/B-7.I-B.6.a
Castore (monte)		45.922222	7.794444	45.922222,7.794444	4000	4228	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Cima Leitosa		45.34966	7.24344	45.34966,7.24344	2500	2870	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Ciamarella-Mondrone > Cresta del Mondrone	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Ciamarella-Mondrone	Cresta del Mondrone	I/B-7.I-B.6.b
Cima Tosa		46.156522	10.871128	46.156522,10.871128	3000	3136	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Massiccio della Tosa	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Massiccio della Tosa	II/C-28.IV-A.1.f
Dent Blanche		46.035556	7.613056	46.035556,7.613056	4000	4357	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Dent Blanche-Grand Cornier > Gruppo della Dent Blanche	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Dent Blanche-Grand Cornier	Gruppo della Dent Blanche		I/B-9.II-C.5
Dobratsch		46.6	13.666667	46.6,13.666667	2000	2166	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi della Gail > Alpi di Erzberg e di Villacher > Alpi di Villacher	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi della Gail	Alpi di Erzberg e di Villacher	Alpi di Villacher		II/C-33.II-F.11
Furchetta		46.612225	11.772873	46.612225,11.772873	3000	3025	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo delle Odle > Gruppo delle Odle p.d.	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo delle Odle	Gruppo delle Odle p.d.	II/C-31.III-A.5.a
Grand Pilier d'Angle		45.82416	6.88302	45.82416,6.88302	4000	4234	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Monte Bianco	I/B-7.V-B.2.b
Grande Tête de By		45.919739	7.298205	45.919739,7.298205	3500	3588	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Grand Combin-Monte Vélan > Gruppo Monte Velàn-Tête de By > Gruppo della Grand Tête de By	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Grand Combin-Monte Vélan	Gruppo Monte Velàn-Tête de By	Gruppo della Grand Tête de By	I/B-9.I-B.3.b
Grosse Sandspitze		46.767241	12.811174	46.767241,12.811174	2500	2770	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi della Gail > Alpi Centrali di Lienz > Gruppo del Laserz > Dorsale del Sandspitze	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi della Gail	Alpi Centrali di Lienz	Gruppo del Laserz	Dorsale del Sandspitze	II/C-33.II-B.3.d
Hochstuhl		46.433889	14.173889	46.433889,14.173889	2000	2237	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Caravanche > Caravanche Occidentali > Gruppo dello Stol > Dorsale dello Stol	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Caravanche	Caravanche Occidentali	Gruppo dello Stol	Dorsale dello Stol	II/C-35.I-A.3.a
Monte Gelé		45.904167	7.366111	45.904167,7.366111	3500	3519	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Gelé-Collon > Gruppo Gelé-Morion > Gruppo del Gelé	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Gelé-Collon	Gruppo Gelé-Morion	Gruppo del Gelé	I/B-9.I-C.5.b
Monviso		44.668531	7.09013	44.668531,7.09013	3500	3841	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Punta Santner		46.525332	11.570442	46.525332,11.570442	2000	2414	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Fassa > Massiccio dello Sciliar > Massiccio Monte Pez-Cime di Siusi	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Fassa	Massiccio dello Sciliar	Massiccio Monte Pez-Cime di Siusi	II/C-31.III-B.7.b
Punta Thurwieser		46.495417	10.52511	46.495417,10.52511	3500	3641	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Sottogruppo Trafoi-Thurwieser	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Sottogruppo Trafoi-Thurwieser	II/C-28.I-A.1.b
Rocca la Meja		44.398333	7.068611	44.398333,7.068611	2500	2831	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo dell'Oserot > Gruppo della Meja	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo dell'Oserot	Gruppo della Meja	I/A-4.I-A.2.b
Rocca Pagana		45.78991	10.62493	45.78991,10.62493	1000	1261	Alpi Orientali > Alpi Sud-orientali > Prealpi Bresciane e Gardesane > Prealpi Gardesane > Prealpi Gardesane Sud-occidentali > Tombea > Tombea	Alpi Orientali	Alpi Sud-orientali	Prealpi Bresciane e Gardesane	Prealpi Gardesane	Prealpi Gardesane Sud-occidentali	Tombea	Tombea	II/C-30.II-B.5.a
Rocciamelone		45.2036	7.076869	45.2036,7.076869	3500	3538	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Rocciamelone-Charbonnel > Gruppo del Rocciamelone > Nodo del Rocciamelone	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Rocciamelone-Charbonnel	Gruppo del Rocciamelone	Nodo del Rocciamelone	I/B-7.I-A.2.a
Balmhorn		46.425	7.693611	46.425,7.693611	3500	3697	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Balmhorn-Torrenthorn > Gruppo del Balmhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Balmhorn-Torrenthorn	Gruppo del Balmhorn	I/B-12.II-D.11.b
Barre des Écrins		44.922222	6.359444	44.922222,6.359444	4000	4102	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Écrins-Grande Ruine-Agneaux > Gruppo des Écrins	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Écrins-Grande Ruine-Agneaux	Gruppo des Écrins		I/A-5.III-A.5
Cima d'Asta		46.178	11.60594	46.178,11.60594	2500	2847	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Fiemme > Dolomiti Meridionali di Fiemme > Massiccio di Cima d'Asta > Dorsale Cima d'Asta-Quarazza	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Fiemme	Dolomiti Meridionali di Fiemme	Massiccio di Cima d'Asta	Dorsale Cima d'Asta-Quarazza	II/C-31.V-B.5.a
Cima di Valeille		45.523076	7.388427	45.523076,7.388427	3000	3357	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Sengie-Chardonney > Nodo delle Sengie	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Sengie-Chardonney	Nodo delle Sengie	I/B-7.IV-A.4.a
Obergabelhorn		46.038333	7.667778	46.038333,7.667778	4000	4063	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Obergabelhorn-Zinalrothorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Obergabelhorn-Zinalrothorn		I/B-9.II-D.7
Pigne d'Arolla		45.991111	7.455	45.991111,7.455	3500	3796	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Arolla-Cheilon-Pleureur > Gruppo Arolla-Cheilon-Ruinette	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Arolla-Cheilon-Pleureur	Gruppo Arolla-Cheilon-Ruinette		I/B-9.I-D.8
Pilatus		46.980194	8.253994	46.980194,8.253994	2000	2128	Alpi Occidentali > Alpi Nord-occidentali > Prealpi Svizzere > Prealpi di Lucerna e di Untervaldo > Prealpi di Lucerna > Massiccio del Pilatus	Alpi Occidentali	Alpi Nord-occidentali	Prealpi Svizzere	Prealpi di Lucerna e di Untervaldo	Prealpi di Lucerna	Massiccio del Pilatus		I/B-14.III-A.3
Piz Roseg		46.373808	9.882867	46.373808,9.882867	3500	3935	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Bernina	II/A-15.III-A.1.c
Grummetkopf		47.49102	13.54289	47.49102,13.54289	2000	2040	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi >  >  > Monti del Dachstein	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi			Monti del Dachstein		II/B-24.III-C.5.a
