Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Monte Cavallo (Prealpi Bellunesi)	46.129921	12.496912	FALSE				First absolute ascent		luglio 1726	1726	Giovanni Girolamo Zanichelli		Giovanni Girolamo Zanichelli		2000	2251	Alpi Orientali > Alpi Sud-orientali > Prealpi Bellunesi >  > Catena Cavallo-Visentin > Gruppo del Col Nudo-Cavallo > Sottogruppo del Cavallo	Alpi Orientali	Alpi Sud-orientali	Prealpi Bellunesi		Catena Cavallo-Visentin	Gruppo del Col Nudo-Cavallo	Sottogruppo del Cavallo	II/C-32.II-B.1.b
Monte Civetta	46.3833	12.05	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		tra il1855e il1860	1860	Simeone De Silvestro, altri		Simeone De Silvestro, altri		3000	3220	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Zoldo > Dolomiti Settentrionali di Zoldo > Gruppo del Civetta > Dorsale del Civetta	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Zoldo	Dolomiti Settentrionali di Zoldo	Gruppo del Civetta	Dorsale del Civetta	II/C-31.II-A.3.b
Monte Collalto	46.911942	12.139978	FALSE				First absolute ascent		1854	1854	Hermann van Acken, assistenti misuratori		Hermann van Acken, assistenti misuratori		3000	3436	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi Pusteresi > Catena delle Vedrette di Ries > Gruppo delle Vedrette di Ries > Costiera delle Vedrette di Ries	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi Pusteresi	Catena delle Vedrette di Ries	Gruppo delle Vedrette di Ries	Costiera delle Vedrette di Ries	II/C-17.III-A.1.b
Monte Collon	45.97639	7.50472	FALSE				First absolute ascent		31 luglio 1867	1867	G.E. Foster	Hans Baumann, Johann Kronig	G.E. Foster, Hans Baumann, Johann Kronig		3500	3637	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Gelé-Collon > Catena Blanchen-Collon > Gruppo Blanchen-Collon	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Gelé-Collon	Catena Blanchen-Collon	Gruppo Blanchen-Collon	I/B-9.I-C.7.a
Monte Gelàs	44.125	7.389	FALSE				First absolute ascent		1864	1864	Paolo di Saint-Robert		Paolo di Saint-Robert		3000	3143	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Gruppo Gelas-Grand Capelet > Gruppo del Gelàs > Nodo del Gelàs	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Gruppo Gelas-Grand Capelet	Gruppo del Gelàs	Nodo del Gelàs	I/A-2.1-A.4.b
Monte Leone	46.249692	8.109956	FALSE				First absolute ascent		luglio 1859	1859	anonimi ufficiali svizzeri		anonimi ufficiali svizzeri		3500	3552	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Monte Leone-Blinnenhorn > Gruppo del Monte Leonein senso ampio > Gruppo del Monte Leonein senso stretto	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Monte Leone-Blinnenhorn	Gruppo del Monte Leonein senso ampio	Gruppo del Monte Leonein senso stretto	I/B-10.I-A.1.a
Monte Losetta	44.680319	7.063292	FALSE				First absolute ascent		25 settembre1877	1877	Paul Guillemin, Salvador de Quatrefages	Emile Pic, J. Chappey	Paul Guillemin, Salvador de Quatrefages, Emile Pic, J. Chappey		3000	3054	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo dell'Aiguillette > Sottogruppo Pic d'Asti-Monte Aiguillette	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo dell'Aiguillette	Sottogruppo Pic d'Asti-Monte Aiguillette	I/A-4.I-C.7.b
Monte Maudit	45.847778	6.875833	FALSE				First absolute ascent		12 settembre1878	1878	Henry Seymour Hoare, William Edward Davidson	Johann Jaun, Johann von Bergen	Henry Seymour Hoare, William Edward Davidson, Johann Jaun, Johann von Bergen		4000	4468	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo del Monte Maudit	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo del Monte Maudit	I/B-7.V-B.2.d
Monte Néry	45.71673	7.81926	FALSE				First absolute ascent		2 ottobre1873	1873	Amé Gorret, Jean-Baptiste Bertolin, Jean Ronco		Amé Gorret, Jean-Baptiste Bertolin, Jean Ronco		3000	3075	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Contrafforti valdostani del Monte Rosa > Costiera Testa Grigia-Frudiera > Costiera di Frudiera	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Contrafforti valdostani del Monte Rosa	Costiera Testa Grigia-Frudiera	Costiera di Frudiera	I/B-9.III-B.5.b
Monte Nevoso (Alto Adige)	46.905556	12.084444	FALSE				First absolute ascent		6 ottobre1866	1866	Rainer von Österreich, Graf Heinrich Wurmbrand, Bergführer Georg Auer, Johann Oberarzbacher aus Rein e Georg Weiss, Gastwirt		Rainer von Österreich, Graf Heinrich Wurmbrand, Bergführer Georg Auer, Johann Oberarzbacher aus Rein e Georg Weiss, Gastwirt		3000	3358	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi Pusteresi > Vedrette di Ries > Gruppo delle Vedrette di Ries > Costiera del Monte Nevoso	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi Pusteresi	Vedrette di Ries	Gruppo delle Vedrette di Ries	Costiera del Monte Nevoso	II/A-17.III-A.1.c
