Name	latitude	longitude	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Pic Sans Nom	44.893333	6.383333	FALSE				First absolute ascent		10 luglio 1877	1877	J. B. Colgrove, Richard Pendlebury	Gabriel Spectenhauser, Josef Spectenhauser	J. B. Colgrove, Richard Pendlebury, Gabriel Spectenhauser, Josef Spectenhauser		3500	3913	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Pelvoux-Bans-Sirac > Catena Ailefroide-Pelvoux > Gruppo del Pelvoux	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Pelvoux-Bans-Sirac	Catena Ailefroide-Pelvoux	Gruppo del Pelvoux	I/A-5.III-C.10.b
Dente del Gigante	45.861944	6.951667	FALSE				First absolute ascent		28/07/1882	1882	Jean-Joseph Maquignaz, Baptiste Maquignaz, Daniel Maquignaz		Jean-Joseph Maquignaz, Baptiste Maquignaz, Daniel Maquignaz		4000	4014	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena Rochefort-Grandes Jorasses-Leschaux > Gruppo di Rochefort	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena Rochefort-Grandes Jorasses-Leschaux	Gruppo di Rochefort	I/B-7.V-B.4.a/a
Monte Cevedale	46.448055	10.620833	FALSE				First absolute ascent		7 settembre 1865	1865	Julius von Payer, Johann Pinggera, J. Reinstadler		Julius von Payer, Johann Pinggera, J. Reinstadler		3500	3769	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo del Cevedale > Gruppo Cevedale-San Matteo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo del Cevedale	Gruppo Cevedale-San Matteo	II/C-28.I-A.2.a
Testa del Rutor	45.631764	7.013977	FALSE				First absolute ascent		16 agosto 1858	1858	Gottlieb Samuel Studer, Johann Jakob Weilenmann, B. Weilenmann	Jean-Baptiste Frassy di Valgrisenche	Gottlieb Samuel Studer, Johann Jakob Weilenmann, B. Weilenmann, Jean-Baptiste Frassy di Valgrisenche	Alessandro Giorgetta, Alpi Graie Centrali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1985. [p. 211]	3000	3486	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Grande Sassière e del Rutor > Catena Rutor-Léchaud > Gruppo del Rutor > Nodo del Rutor	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Grande Sassière e del Rutor	Catena Rutor-Léchaud	Gruppo del Rutor	Nodo del Rutor	I/B-7.III-B.3.a
Cima del Lago Bianco	46.846667	10.717222	FALSE				First absolute ascent		1870	1870	Franz Senn, V. v. Mayrl, J. Wanderer	I. Schöpf	Franz Senn, V. v. Mayrl, J. Wanderer, I. Schöpf		3000	3498	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Gruppo della Palla Bianca > Gruppo della Cima del Lago Bianco	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Gruppo della Palla Bianca	Gruppo della Cima del Lago Bianco	II/A-16.I-A.2.a
Cima dell'Accla	46.965833	11.244444	FALSE				First absolute ascent		17 agosto1887	1887	Carl Hofer, Albert Wachtler, Demeter Diamantidi, Peter Kotter		Carl Hofer, Albert Wachtler, Demeter Diamantidi, Peter Kotter		3000	3196	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Catena Cima Libera-Accla	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Catena Cima Libera-Accla	II/A-16.II-A.1.c/c
Cima Dura	46.961247	12.029035	FALSE				First absolute ascent		luglio 1877	1877	C. Arnold, Josef Außerhofer		C. Arnold, Josef Außerhofer		3000	3135	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Venediger > Gruppo Cima Dura-Monti di Predoi > Gruppo della Cima Dura	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Venediger	Gruppo Cima Dura-Monti di Predoi	Gruppo della Cima Dura	II/A-17.II-A.2.b
Cima Libera	46.970217	11.190555	FALSE				First absolute ascent		1865	1865	F. Leis		F. Leis		3000	3418	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi dello Stubai > Alpi Breonie Occidentali > Gruppo di Ridanna > Catena Cima Libera-Accla	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi dello Stubai	Alpi Breonie Occidentali	Gruppo di Ridanna	Catena Cima Libera-Accla	II/A-16.II-A.1.c
Cima Pisciadù	46.531419	11.824629	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		1872	1872	Johannes Alton, Joseph Alton		Johannes Alton, Joseph Alton	Fabio Favaretto e Andrea Zannini, Gruppo di Sella, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1991.	2500	2985	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Gardena e di Fassa > Dolomiti di Gardena > Gruppo del Sella > Sottogruppo del Pissadù	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Gardena e di Fassa	Dolomiti di Gardena	Gruppo del Sella	Sottogruppo del Pissadù	II/C-31.III-A.1.b
Cima Tessa	46.720833	10.971389	FALSE				First absolute ascent		22 luglio1871	1871	Theodor Petersen	L. Ennemoser, J. Hellriegl	Theodor Petersen, L. Ennemoser, J. Hellriegl		3000	3318	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Passirie > Giogaia di Tessa > Gruppo del Monterosso	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Passirie	Giogaia di Tessa	Gruppo del Monterosso	II/A-16.I-B.6.b
Monte Paterno	46.629889	12.315417	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		11 settembre 1882	1882	Franz Innerkofler, Erich Künigl		Franz Innerkofler, Erich Künigl		2500	2744	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo Paterno-Cima Una > Nodo del Monte Paterno	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo Paterno-Cima Una	Nodo del Monte Paterno	II/C-31.I-A.3.a
Monte Rosso (Alpi Venoste)	46.724642	10.98331	FALSE				First absolute ascent		14 luglio1872	1872	Theodor Petersen, Rochus Raffeiner, Illdefons Kobler		Theodor Petersen, Rochus Raffeiner, Illdefons Kobler		3000	3337	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Passirie > Giogaia di Tessa > Gruppo del Monterosso	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Passirie	Giogaia di Tessa	Gruppo del Monterosso	II/A-16.I-B.6.b
Monte Silvretta	46.858204	10.092566	FALSE				First absolute ascent		1865	1865	Jules Jacot	due guide	Jules Jacot, due guide		3000	3244	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Silvretta, del Samnaun e del Verwall > Gruppo del Silvretta > Catena Silvrettahorn-Piz Buin-Augstenberg > Gruppo del Silvrettahorn	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Silvretta, del Samnaun e del Verwall	Gruppo del Silvretta	Catena Silvrettahorn-Piz Buin-Augstenberg	Gruppo del Silvrettahorn	II/A-15.VI-A.2.a
Monte Zingla	45.70362	10.53844	FALSE				First absolute ascent		1906	1906	Francesco Coppellotti, Paolino Tonelli		Francesco Coppellotti, Paolino Tonelli		1000	1497	Alpi Orientali > Alpi Sud-orientali > Prealpi Bresciane e Gardesane > Prealpi Gardesane > Prealpi Gardesane Sud-occidentali > Pizzocolo Manos > Manos-Zingla	Alpi Orientali	Alpi Sud-orientali	Prealpi Bresciane e Gardesane	Prealpi Gardesane	Prealpi Gardesane Sud-occidentali	Pizzocolo Manos	Manos-Zingla	II/C-30.II-B.5.a
Piz Kesch	46.621306	9.872611	FALSE				First absolute ascent		1846	1846	Johann Coaz, J. Rascher, C. Casper, Jon Tscharner		Johann Coaz, J. Rascher, C. Casper, Jon Tscharner		3000	3418	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi dell'Albula > Catena Kesch-Chüealphorn-Grialetsch > Gruppo del Kesh i.s.a. > Gruppo del Keshin senso stretto	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi dell'Albula	Catena Kesch-Chüealphorn-Grialetsch	Gruppo del Kesh i.s.a.	Gruppo del Keshin senso stretto	II/A-15.II-B.4.c
Piz Scerscen	46.378812	9.901192	FALSE				First absolute ascent		13 settembre 1877	1877	Paul Güssfeldt	Hans Grass, Kaspar Capat	Paul Güssfeldt, Hans Grass, Kaspar Capat		3500	3970	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Bernina	II/A-15.III-A.1.c
Pizzo Badile Camuno	46.006014	10.401693	FALSE				First absolute ascent		25 maggio 1884	1884	Battista Beatrici, Francesco Ballardini		Battista Beatrici, Francesco Ballardini		2000	2435	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Re di Castello-Blumone > Gruppo del Frisozzo	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Re di Castello-Blumone	Gruppo del Frisozzo	II/C-28.III-A.2.b
Pizzo Bernina	46.382423	9.908144	FALSE				First absolute ascent		13 settembre 1850	1850	Johann Coaz, Jon Tscharner,  Lorenz Ragut Tscharner		Johann Coaz, Jon Tscharner,  Lorenz Ragut Tscharner	[1]	4000	4050	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Catena Bernina-Scalino > Massiccio del Bernina > Gruppo del Bernina	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Catena Bernina-Scalino	Massiccio del Bernina	Gruppo del Bernina	II/A-15.III-A.1.c
Pizzo del Diavolo di Tenda	46.045278	9.908194	FALSE				First absolute ascent		settembre 1870	1870	Alessandro Rossi		Alessandro Rossi		2500	2914	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo del Pizzo del Diavolo	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo del Pizzo del Diavolo	II/C-29.I-A.2.c
Pizzo Ligoncio	46.239058	9.547327	FALSE				First absolute ascent		9 agosto 1881	1881	Antonio Baroni, F. Lurani, G. Fiorelli		Antonio Baroni, F. Lurani, G. Fiorelli	[1]	3000	3032	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Costiera Liconcio-Sasso Manduino	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Costiera Liconcio-Sasso Manduino	I/A-15.III-B.3.g
Pizzo Suretta	46.50951	9.36239	FALSE				First absolute ascent		18 luglio 1869	1869	Arnold Baltzer	Georg Trepp	Arnold Baltzer, Georg Trepp		3000	3027	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Platta > Catena Suretta-Stella-Duan > Gruppo Suretta-Emet > Gruppo del Suretta	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Platta	Catena Suretta-Stella-Duan	Gruppo Suretta-Emet	Gruppo del Suretta	II/A-15.I-A.1.a
Polluce (monte)	45.916667	7.783333	FALSE				First absolute ascent		1º agosto 1864	1864	Peter Taugwalder senior, Jules Jacot		Peter Taugwalder senior, Jules Jacot		4000	4091	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Catena Breithorn-Lyskamm > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Catena Breithorn-Lyskamm		I/B-9.III-A.1
Presolana	45.9562	10.0557	FALSE				First absolute ascent		3 ottobre1870	1870	A. Curò, F. Frizzoni, C. Medici		A. Curò, F. Frizzoni, C. Medici		2500	2521	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi Bergamasche > Prealpi Bergamasche > Prealpi Bergamasche Orientali > Gruppo della Presolana > Costiera Presolana-Visolo-Bares	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi Bergamasche	Prealpi Bergamasche	Prealpi Bergamasche Orientali	Gruppo della Presolana	Costiera Presolana-Visolo-Bares	II/C-29.II-C.7.b
Punta Bianca (Alpi della Zillertal)	46.9676	11.74738	FALSE				First absolute ascent		8 agosto 1871	1871	Erich Künigl		Erich Künigl		3000	3371	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Gran Pilastro > Catena Gran Pilastro-Punta di Valle > 	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Gran Pilastro	Catena Gran Pilastro-Punta di Valle		II/A-17.I-B.3
Punta di Finale	46.780278	10.831667	FALSE				First absolute ascent		8 settembre1865	1865	Franz Senn	Cyprian Granbichler, Josef Gstrein	Franz Senn, Cyprian Granbichler, Josef Gstrein		3500	3514	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche orientali > Alpi Venoste > Alpi Venoste Orientali > Cresta di Senales > Gruppo della Punta di Finale	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche orientali	Alpi Venoste	Alpi Venoste Orientali	Cresta di Senales	Gruppo della Punta di Finale	II/A-16.I-A.5.a
Tour Jaune de Barabbas	45.027915	6.681571	FALSE				First absolute ascent		5 agosto 1907	1907	L. Noel, M. R. Touchon		L. Noel, M. R. Touchon		2000	2365	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Chaberton-Tabor-Galibier > Gruppo del Chaberton > Gruppo Chaberton-Clotesse	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Chaberton-Tabor-Galibier	Gruppo del Chaberton	Gruppo Chaberton-Clotesse	I/A-4.III-A.1.a
Tour Noir	45.949019	7.037666	FALSE				First absolute ascent		3 agosto 1876	1876	E. Javelle, F. F. Turner	J. Moser, f. Tournier	E. Javelle, F. F. Turner, J. Moser, f. Tournier		3500	3836	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio Dolent-Argentière-Trient > Catena Dolent-Tour Noir-Argentière > Gruppo Tour Noir-Darrey	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio Dolent-Argentière-Trient	Catena Dolent-Tour Noir-Argentière	Gruppo Tour Noir-Darrey	I/B-7.V-C.6.b
Velika Baba	46.378477	13.836629	FALSE				First absolute ascent		1896	1896	Lovrenc Potočnik, Louise Schütz, Paula Schütz		Lovrenc Potočnik, Louise Schütz, Paula Schütz		2000	2127	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja > Catena Mrzla gora-Grintovec-Ojstric > Gruppo della Mrzla gora > Sottogruppo del Babe	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja	Catena Mrzla gora-Grintovec-Ojstric	Gruppo della Mrzla gora	Sottogruppo del Babe	II/C-35.II-B.2.a
Vordere Kopfwand	47.5026	13.5334	FALSE				First absolute ascent		10 agosto 1922	1922	H. Heinzl, G. Köhler		H. Heinzl, G. Köhler		2000	2075	Alpi Orientali > Alpi Nord-orientali > Alpi Settentrionali Salisburghesi > Monti del Dachstein > Gruppo del Gosau >  > 	Alpi Orientali	Alpi Nord-orientali	Alpi Settentrionali Salisburghesi	Monti del Dachstein	Gruppo del Gosau			II/B-25.I
Wellenkuppe	46.041972	7.677833	FALSE				First absolute ascent		1º luglio 1865	1865	Lord Francis Douglas	P. Inäbnit, Peter Taugwalder senior	Lord Francis Douglas, P. Inäbnit, Peter Taugwalder senior		3500	3898	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Weisshorn-Zinalrothorn > Gruppo Obergabelhorn-Zinalrothorn > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Weisshorn-Zinalrothorn	Gruppo Obergabelhorn-Zinalrothorn		I/B-9.II-D.7
Zeleniške	46.35222	14.62139	FALSE				First absolute ascent		1911	1911	Bogomil Brinšek, Ivan Kovač, Pavel Kunaver, Ivan Michler, Ivan Tavča		Bogomil Brinšek, Ivan Kovač, Pavel Kunaver, Ivan Michler, Ivan Tavča		2000	2127	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
Viso di Vallanta	44.666325	7.088008	FALSE				First absolute ascent		7 settembre1891	1891	Claudio Perotti, Giuseppe Perotti, Paolo Gastaldi, Vittorio Giordana		Claudio Perotti, Giuseppe Perotti, Paolo Gastaldi, Vittorio Giordana		3500	3781	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Monviso > Gruppo del Monvisopropriamente detto > Nodo del Monviso	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Monviso	Gruppo del Monvisopropriamente detto	Nodo del Monviso	I/A-4.I-C.8.a
Nadelhorn	46.108889	7.863889	FALSE				First absolute ascent		16 settembre 1858	1858	Franz Andenmatten, Baptiste Epiney, Aloys Supersaxo, J. Zimmermann		Franz Andenmatten, Baptiste Epiney, Aloys Supersaxo, J. Zimmermann		4000	4327	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Catena del Mischabel > 	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Catena del Mischabel		I/B-9.V-A.2
Cima di Jazzi	45.981083	7.894694	FALSE				First absolute ascent		agosto 1851	1851	G.M. Sykes, Matthäus Zumtaugwald		G.M. Sykes, Matthäus Zumtaugwald	[1]	3500	3792	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Gruppo della Cima di Jazzi > Sottogruppo della Cima di Jazzi	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Gruppo della Cima di Jazzi	Sottogruppo della Cima di Jazzi	I/B-9.III-A.3.a
Cima Maledia	44.1225	7.398333	FALSE				First absolute ascent		1895	1895	M. Louis Maubert, Jean-Baptiste Plent		M. Louis Maubert, Jean-Baptiste Plent		3000	3061	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Gruppo Gelas-Grand Capelet > Gruppo del Gelas > Gruppo Clapier-Maledia p.d.	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Gruppo Gelas-Grand Capelet	Gruppo del Gelas	Gruppo Clapier-Maledia p.d.	I/A-2.I-A.4.a/b
La Madre di Dio	44.169919	7.289653	FALSE				First absolute ascent		19 settembre1901	1901	Victor de Cessole, Jean-Baptiste Plent, Andrea Ghigo		Victor de Cessole, Jean-Baptiste Plent, Andrea Ghigo		2500	2800	Alpi Occidentali > Alpi Sud-occidentali > Alpi Marittime e Prealpi di Nizza > Alpi Marittime > Catena Argentera-Pépoiri-Matto > Gruppo dell'Argentera > Massiccio dell'Argentera	Alpi Occidentali	Alpi Sud-occidentali	Alpi Marittime e Prealpi di Nizza	Alpi Marittime	Catena Argentera-Pépoiri-Matto	Gruppo dell'Argentera	Massiccio dell'Argentera	I/A-2.I-B.6.a/b
Croda dei Baranci	46.689416	12.276556	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		17 luglio1880	1880	Ludwig Grünwald, Santo Siorpaes		Ludwig Grünwald, Santo Siorpaes		2500	2922	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo Rondoi-Baranci > Nodo della Croda dei Baranci	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo Rondoi-Baranci	Nodo della Croda dei Baranci	II/C-31.I-A.1.b
Becca di Montandayné	45.533668	7.268558	FALSE				First absolute ascent		1875	1875	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		3500	3838	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Cima dei Preti	46.34232	12.42105	FALSE				First absolute ascent		23 settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Santo Siorpaes, Maurice Holzmann		2500	2707	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Catena Duranno-Monfalconi-Pramaggiore > Gruppo del Duranno > 	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Catena Duranno-Monfalconi-Pramaggiore	Gruppo del Duranno		II/C-33.III-A.3
Cimon del Froppa	46.507352	12.340558	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		19 agosto 1872	1872	Santo Siorpaes, William Edward Utterson-Kelso		Santo Siorpaes, William Edward Utterson-Kelso		2500	2932	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Cadorine > Gruppo delle Marmarole > Sottogruppo delle Marmarole	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Cadorine	Gruppo delle Marmarole	Sottogruppo delle Marmarole	II/C-31.I-E.21.b
Creta Forata	46.5425	12.73629	FALSE				First absolute ascent		26 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Santo Siorpaes, Maurice Holzmann		2000	2462	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
Croda Rossa d'Ampezzo	46.639749	12.138691	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		20/06/1870	1870	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		3000	3146	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Braies > Gruppo della Croda Rossa d'Ampezzo > Sottogruppo della Croda d'Ampezzo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Braies	Gruppo della Croda Rossa d'Ampezzo	Sottogruppo della Croda d'Ampezzo	II/C-31.I-B.9.a
Gran Zebrù	46.47861	10.56833	FALSE				First absolute ascent		03/08/1864	1864	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton	guide tirolesi Michel e Biener	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton, guide tirolesi Michel e Biener		3500	3857	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Ortles-Gran Zebrù	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Ortles-Gran Zebrù	II/C-28.I-A.1.c
Monte Duranno	46.32957	12.40262	FALSE				First absolute ascent		22 luglio 1874	1874	Santo Siorpaes, William Edward Utterson-Kelso		Santo Siorpaes, William Edward Utterson-Kelso		2500	2652	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Dolomiti Friulane > Gruppo del Duranno > 	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Dolomiti Friulane	Gruppo del Duranno		II/C-33.III-A.3
Monte Popera	46.627022	12.388966	FALSE		Prime Ascensioni sulle Dolomiti		First absolute ascent		settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Santo Siorpaes, Maurice Holzmann		3000	3046	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo del Popera > Sottogruppo di Cima Undici	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo del Popera	Sottogruppo di Cima Undici	II/C-31.I-A.8.a
Monte Siera	46.54929	12.7111	FALSE				First absolute ascent		23 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Santo Siorpaes, Maurice Holzmann		2000	2443	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
