Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
Qualcosa, là fuori	Walldorf							453404	49.3038134,8.6433518
Qualcosa, là fuori	Gottinga							191361	51.5328328,9.9351811
Qualcosa, là fuori	Hannover							59418	52.3744779,9.7385532
Qualcosa, là fuori	Bergen-Belsen							2707989157	48.8601371,2.4001275
Qualcosa, là fuori	Wilseder Berg							742231390	53.1678028,9.9390268
Qualcosa, là fuori	Bleckede							1837837	53.2933058,10.7299955
Qualcosa, là fuori	Wulfsen							335212	53.3007223,10.1473808
Qualcosa, là fuori	Radbruch							1392132	53.3115360,10.2844007
Qualcosa, là fuori	Handorf							1255319	48.9081326,6.4413019
Qualcosa, là fuori	Ratzeburg							1471100	53.7011061,10.7742880
Qualcosa, là fuori	Teschow							260059096	53.7874656,12.6297233
Qualcosa, là fuori	Kaseberga	pianura, montagna, mare	Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Acquatico > Mare					27805208	55.3870958,14.0656814
Le otto montagne	Milano	montagna	Aperto > Naturale > Rilievo > Montagna					44915	45.4641943,9.1896346
Le otto montagne	Grana (BG)	montagna	Aperto > Naturale > Rilievo > Montagna					10207399661	45.9682534,10.1035775
Le otto montagne	Katmandu	montagna	Aperto > Naturale > Rilievo > Montagna					12394677	27.7083170,85.3205817
Le otto montagne	Himalaya	montagna	Aperto > Naturale > Rilievo > Montagna					3791305957	27.9856880,86.9163367
Artico nero. La lunga notte dei popoli dei ghiacci	Čukotka	mare	Aperto > Naturale > Acquatico > Mare					11256819599	50.5498349,16.2309744
Artico nero. La lunga notte dei popoli dei ghiacci	Alaska	mare	Aperto > Naturale > Acquatico > Mare					1116270	64.4459613,-149.6809090
Artico nero. La lunga notte dei popoli dei ghiacci	Canada	mare	Aperto > Naturale > Acquatico > Mare					1428125	61.0666922,-107.9917070
Artico nero. La lunga notte dei popoli dei ghiacci	Norvegia	mare	Aperto > Naturale > Acquatico > Mare					1059668	64.5731537,11.5280364
Artico nero. La lunga notte dei popoli dei ghiacci	Siberia	mare	Aperto > Naturale > Acquatico > Mare					1221148	65.2729258,95.4899032
